Состояние,Бренд,Оперативная память (ГБ),Частота процессора,Количество ядер,Видеокарта,Тип,Накопитель,Объем накопителя,Price
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,1000,12999
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,SSD,256,28000
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,512,29000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,18000
Новый,Apple,2,1.2,2,4.81,Ноутбук,Другой тип накопителя,128,1550
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,9500
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,SSD,1000,35000
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,256,34000
Б/у,NotApple,8,3.2,4,27.1,Ноутбук,SSD,256,57900
Б/у,Apple,4,1.7,2,4.7,Ультрабук,SSD,256,23000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,16.7,Ноутбук,SSD,128,28000
Б/у,Apple,8,2.2,2,4.7,Ноутбук,SSD,128,75000
Новый,NotApple,8,3.2,4,4.7,Ультрабук,HDD,1000,35000
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,SSD,128,37000
Б/у,NotApple,8,3.2,8,26.6,Ноутбук,HDD + SSD,256,20000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,57000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,45000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,14800
Б/у,NotApple,8,2.7,8,4.7,Ноутбук,HDD,256,19000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,50000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,20000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,15000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,45000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,128,21000
Б/у,NotApple,4,2.2,8,4.7,Ноутбук,HDD,256,12000
